location,truth_date,year_week,value
EE,2022-10-02,2022-W39,346.89955701513
EE,2022-09-25,2022-W38,291.56404033478
EE,2022-09-18,2022-W37,253.896793246661
EE,2022-09-11,2022-W36,196.005016284882
EE,2022-09-04,2022-W35,169.690572211346
EE,2022-08-28,2022-W34,168.412442070631
EE,2022-08-21,2022-W33,185.779975159165
EE,2022-08-14,2022-W32,172.998673752019
EE,2022-08-07,2022-W31,214.876231891903
EE,2022-07-31,2022-W30,214.876231891903
EE,2022-07-24,2022-W29,157.360375559746
EE,2022-07-10,2022-W27,138.564344078649
EE,2022-07-03,2022-W26,175.179013403826
EE,2022-06-26,2022-W25,88.942820968552
FI,2023-12-17,2023-W50,3736.7896555135894
FI,2023-12-10,2023-W49,3440.02576391214
FI,2023-12-03,2023-W48,3367.62735826578
FI,2023-11-26,2023-W47,3326.90220725605
FI,2023-10-29,2023-W43,3314.77028004403
FI,2023-10-22,2023-W42,3330.37214047692
FI,2023-10-15,2023-W41,3003.77628118708
FI,2023-10-08,2023-W40,2722.32545184105
FI,2023-09-24,2023-W38,2708.53116046506
FI,2023-09-17,2023-W37,2698.1532833478
FI,2023-09-10,2023-W36,2800.65916152344
FI,2023-09-03,2023-W35,2540.68045304918
FI,2023-08-27,2023-W34,2151.08846039335
FI,2023-08-20,2023-W33,1758.08758089741
FI,2023-08-13,2023-W32,1522.52506375452
FI,2023-08-06,2023-W31,1556.4132081263
FI,2023-07-30,2023-W30,1580.71436476096
FI,2023-07-23,2023-W29,1590.18524187788
FI,2023-07-16,2023-W28,1570.86550862949
FI,2023-07-09,2023-W27,1461.52449067006
FI,2023-07-02,2023-W26,1489.89847434443
FI,2023-06-25,2023-W25,1506.75851043478
FI,2023-06-18,2023-W24,1874.70518791095
FI,2023-06-11,2023-W23,2149.82524758967
FI,2023-06-04,2023-W22,2120.56570036225
FI,2023-05-28,2023-W21,2181.14102195631
FI,2023-05-21,2023-W20,2315.71651446345
FI,2023-05-14,2023-W19,2466.77976465758
FI,2023-05-07,2023-W18,2311.23308610238
FI,2023-04-30,2023-W17,2195.09368956913
FI,2023-04-23,2023-W16,2314.17955866284
FI,2023-04-16,2023-W15,2503.98471670724
FI,2023-04-09,2023-W14,2478.28212777083
FI,2023-04-02,2023-W13,2566.4047258432
FI,2023-03-26,2023-W12,2587.57795977176
FI,2023-03-19,2023-W11,2534.0212252665
FI,2023-03-12,2023-W10,2534.3483733918706
FI,2023-03-05,2023-W09,2629.03004867715
FI,2023-02-26,2023-W08,2736.5087086057906
FI,2023-02-19,2023-W07,2651.68369888079
FI,2023-02-12,2023-W06,2427.30774114361
FI,2023-02-05,2023-W05,2483.1235812638
FI,2023-01-29,2023-W04,2612.31648837486
FI,2023-01-22,2023-W03,2689.2703585033
FI,2023-01-15,2023-W02,3253.1439165494
FI,2023-01-08,2023-W01,4462.98953023412
FI,2023-01-01,2022-W52,5490.37665885351
FI,2022-12-25,2022-W51,4762.19670751791
FI,2022-12-18,2022-W50,4488.98463465589
